term,definition,notes,category,theme_primary,register,authority_requirement,proof_type,exposure_cost,overuse_penalty,silence_preferred_when_blocked,replacement_if_blocked,cultural_specificity,scene_weight,era_scene,usage_mode,rap_shorthand_term
"""Toxic King.""","""Toxic King."" — a luxury-culture reference used to signal taste, access, or status.","Toxic Lyrics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,TK
Telegram groups,"Telegram groups — a luxury-culture reference used to signal taste, access, or status.","Scam Terms motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,TG
"""Dumping","""Dumping — a luxury-culture reference used to signal taste, access, or status.","Scam Terms motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Dumping
""" ""Clone cards.""",""" ""Clone cards."" — a luxury-culture reference used to signal taste, access, or status.","Scam Terms motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,foreign / performance whip / coupe,scene,0.5,modern,implication,CC
"""Labels in the shadows","""Labels in the shadows — a luxury-culture reference used to signal taste, access, or status.","Industry Plant motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,LITS
""" ""Fake streams",""" ""Fake streams — a luxury-culture reference used to signal taste, access, or status.","Industry Plant motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,FS
""" ""A&R manufacturing",""" ""A&R manufacturing — a luxury-culture reference used to signal taste, access, or status.","Industry Plant motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,ARM
""" ""Nepo.""",""" ""Nepo."" — a luxury-culture reference used to signal taste, access, or status.","Industry Plant motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Nepo
"The idea that your closest friends or ""Day Ones"" will betray you for money.","The idea that your closest friends or ""Day Ones"" will betray you for money. — a luxury-culture reference used to signal taste, access, or status.","The ""Snake"" in the Grass motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,The
"World-building around the government watching your every move. Lyrics focus on ""wiretaps","World-building around the government watching your every move. Lyrics focus on ""wiretaps — a luxury-culture reference used to signal taste, access, or status.","The ""FEDs"" & RICO motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,World
""" ""informants",""" ""informants — a luxury-culture reference used to signal taste, access, or status.","The ""FEDs"" & RICO motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Informants
""" and ""the sting operation.""",""" and ""the sting operation."" — a luxury-culture reference used to signal taste, access, or status.","The ""FEDs"" & RICO motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,ATSO
"Mentions of ""Blacked-out windows","Mentions of ""Blacked-out windows — a luxury-culture reference used to signal taste, access, or status.","The ""Privacy"" Flex: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,MOBOW
""" ""Private entries",""" ""Private entries — a luxury-culture reference used to signal taste, access, or status.","The ""Privacy"" Flex: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,PE
""" ""NDAs",""" ""NDAs — a luxury-culture reference used to signal taste, access, or status.","The ""Privacy"" Flex: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Ndas
""" and ""Gated communities."" It’s a status symbol to be unreachable.",""" and ""Gated communities."" It’s a status symbol to be unreachable. — a luxury-culture reference used to signal taste, access, or status.","The ""Privacy"" Flex: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,And
"Modern rap has moved from ""spending it all"" to ""owning it all."" This is the ""CEO Agenda.""","Modern rap has moved from ""spending it all"" to ""owning it all."" This is the ""CEO Agenda."" — a luxury-culture reference used to signal taste, access, or status.","The ""Generational Wealth & Legacy"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Modern
Mentions of buying land for their mother,"Mentions of buying land for their mother — a luxury-culture reference used to signal taste, access, or status.","The ""Family Office"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Mentions
setting up trust funds for children,"setting up trust funds for children — a luxury-culture reference used to signal taste, access, or status.","The ""Family Office"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Setting
"and hiring their friends as ""consultants"" rather than just giving them cash.","and hiring their friends as ""consultants"" rather than just giving them cash. — a luxury-culture reference used to signal taste, access, or status.","The ""Family Office"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,And
"Moving away from ""jewelry"" and toward ""stocks","Moving away from ""jewelry"" and toward ""stocks — a luxury-culture reference used to signal taste, access, or status.","Equity vs. Cash: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Moving
""" ""REITs"" (Real Estate Investment Trusts)",""" ""REITs"" (Real Estate Investment Trusts) — a luxury-culture reference used to signal taste, access, or status.","Equity vs. Cash: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,RREIT
"and ""Owning the Masters.""","and ""Owning the Masters."" — a luxury-culture reference used to signal taste, access, or status.","Equity vs. Cash: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,AOTM
Referencing Jay-Z,"Referencing Jay-Z — a luxury-culture reference used to signal taste, access, or status.","The ""Mogul"" Blueprint motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,RJZ
Dr. Dre,"Dr. Dre — a luxury-culture reference used to signal taste, access, or status.","The ""Mogul"" Blueprint motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,DD
"or P. Diddy as the ""Godfathers"" of this transition from artist to billionaire.","or P. Diddy as the ""Godfathers"" of this transition from artist to billionaire. — a luxury-culture reference used to signal taste, access, or status.","The ""Mogul"" Blueprint motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Or
This adds a supernatural or philosophical layer to the world-building,"This adds a supernatural or philosophical layer to the world-building — a luxury-culture reference used to signal taste, access, or status.","The ""Esoteric & Spiritual Warfare"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,This
"common in both ""conscious"" and ""dark"" rap.","common in both ""conscious"" and ""dark"" rap. — a luxury-culture reference used to signal taste, access, or status.","The ""Esoteric & Spiritual Warfare"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Common
"The recurring motif of the ""Devil at the crossroads."" It’s used to explain sudden fame or the feeling of losing one's identity to the industry.","The recurring motif of the ""Devil at the crossroads."" It’s used to explain sudden fame or the feeling of losing one's identity to the industry. — a luxury-culture reference used to signal taste, access, or status.","Selling the Soul"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,The
"A theme prevalent in UK and NYC Drill/Grime—the idea that others' jealousy is a literal curse or ""negative energy"" that can cause your downfall.","A theme prevalent in UK and NYC Drill/Grime—the idea that others' jealousy is a literal curse or ""negative energy"" that can cause your downfall. — a luxury-culture reference used to signal taste, access, or status.","The ""Evil Eye"" (Nazar): motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,A
The idea that the world is a simulation or a trap (debt,"The idea that the world is a simulation or a trap (debt — a luxury-culture reference used to signal taste, access, or status.","The ""Matrix"" Breakout: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,The
taxes,"taxes — a luxury-culture reference used to signal taste, access, or status.","The ""Matrix"" Breakout: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Taxes
"9-to-5s) and rap is the only way to ""glitch"" out of it.","9-to-5s) and rap is the only way to ""glitch"" out of it. — a luxury-culture reference used to signal taste, access, or status.","The ""Matrix"" Breakout: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,9
Rappers build worlds around their specific territory,"Rappers build worlds around their specific territory — a luxury-culture reference used to signal taste, access, or status.","The ""Geographic Mythology"" Theme motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Rappers
turning neighborhoods into legendary,"turning neighborhoods into legendary — a luxury-culture reference used to signal taste, access, or status.","The ""Geographic Mythology"" Theme motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,TNIL
"almost ""fictional"" sounding realms.","almost ""fictional"" sounding realms. — a luxury-culture reference used to signal taste, access, or status.","The ""Geographic Mythology"" Theme motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,AFSR
A universal term for the most dangerous parts of any city.,"A universal term for the most dangerous parts of any city. — a luxury-culture reference used to signal taste, access, or status.","""The Trenches"": motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,A
The physical journey from the concrete of the city to the glass of the high-rise.,"The physical journey from the concrete of the city to the glass of the high-rise. — a luxury-culture reference used to signal taste, access, or status.","The ""Block"" vs. The ""Penthouse"": motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,The
"Every city has its ""Mecca"" (e.g.","Every city has its ""Mecca"" (e.g. — a luxury-culture reference used to signal taste, access, or status.","The ""Hub"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Every
Magic City in Atlanta,"Magic City in Atlanta — a luxury-culture reference used to signal taste, access, or status.","The ""Hub"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,MCIA
Starlets in NYC,"Starlets in NYC — a luxury-culture reference used to signal taste, access, or status.","The ""Hub"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,SIN
The 6 in Toronto). These locations are treated like sacred ground in the lyrics.,"The 6 in Toronto). These locations are treated like sacred ground in the lyrics. — a luxury-culture reference used to signal taste, access, or status.","The ""Hub"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,The
"Making it out ""against all odds.""","""The Concrete Jungle,"" ""Survival of the fittest,"" ""Apex predator.""","Survivalism motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Making
"The constant battle with ""The State.""","""Public Defender,"" ""RICO,"" ""Co-defendant,"" ""No-Knock warrant.""","The Judicial System motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,The
Using objects to fill emotional voids.,"""Retail Therapy,"" ""Shopping to forget,"" ""Diamonds for the pain.""","Hyper-Consumerism motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Using
Positioning the rapper as a King or God.,"""The Throne,"" ""Kingdom,"" ""Prince of the City,"" ""Crown.""","Monarchy / Royalty motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Positioning
Using drugs,"""G5 flights,"" ""Zaza clouds,"" ""Island hopping,"" ""Numbing the pain.""","Escapism motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,UD
travel,"""G5 flights,"" ""Zaza clouds,"" ""Island hopping,"" ""Numbing the pain.""","Escapism motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Travel
or sex to flee reality.,"""G5 flights,"" ""Zaza clouds,"" ""Island hopping,"" ""Numbing the pain.""","Escapism motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,OSTFR
The moral foundation of the underground.,"""Omertà,"" ""No paperwork,"" ""Taking it to the grave,"" ""Solid.""","The ""Code of Silence"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,The
"There is a specific ""Ada"" regarding how power is distributed in the music world that rappers often build their lyrics around:","There is a specific ""Ada"" regarding how power is distributed in the music world that rappers often build their lyrics around: — a luxury-culture reference used to signal taste, access, or status.","(The Agenda) of Industry Power motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,There
"The belief that ""Secret Societies"" or a ""Cabal"" of executives decide who wins. This leads to lyrics about ""the 1%","The belief that ""Secret Societies"" or a ""Cabal"" of executives decide who wins. This leads to lyrics about ""the 1% — a luxury-culture reference used to signal taste, access, or status.","The ""Shadow"" Agenda: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,The
""" ""gatekeepers",""" ""gatekeepers — a luxury-culture reference used to signal taste, access, or status.","The ""Shadow"" Agenda: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Gateke
""" and ""vultures"" (people who profit off the culture without being part of it).",""" and ""vultures"" (people who profit off the culture without being part of it). — a luxury-culture reference used to signal taste, access, or status.","The ""Shadow"" Agenda: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,And
"The glorification of the ""Independent Grind."" Artists like Nipsey Hussle or Russ built their world around ""Direct-to-Consumer"" sales and skipping the ""middleman.""","The glorification of the ""Independent Grind."" Artists like Nipsey Hussle or Russ built their world around ""Direct-to-Consumer"" sales and skipping the ""middleman."" — a luxury-culture reference used to signal taste, access, or status.","The ""Independent"" Agenda: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,The
"ransform a rapper’s environment from a playground into a chessboard. It is the transition from ""having it all"" to ""realizing everyone wants to take it."" This mythology is built on the idea that the ""Eye"" (the Government","ransform a rapper’s environment from a playground into a chessboard. It is the transition from ""having it all"" to ""realizing everyone wants to take it."" This mythology is built on the idea that the ""Eye"" (the Government — a luxury-culture reference used to signal taste, access, or status.","Paranoia and Surveillance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Ransform
the Envious,"the Envious — a luxury-culture reference used to signal taste, access, or status.","Paranoia and Surveillance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,TE
or the Industry) is always watching.,"or the Industry) is always watching. — a luxury-culture reference used to signal taste, access, or status.","Paranoia and Surveillance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Or
It treats the government as an omnipresent antagonist,"It treats the government as an omnipresent antagonist — a luxury-culture reference used to signal taste, access, or status.","The Surveillance State (The ""FED"" Narrative) motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,It
"The classic imagery of a plain white van or a ""tinted SUV"" parked down the block. It’s the visual shorthand for a wiretap or a stakeout.","The classic imagery of a plain white van or a ""tinted SUV"" parked down the block. It’s the visual shorthand for a wiretap or a stakeout. — a luxury-culture reference used to signal taste, access, or status.","The ""Van"" Motif motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,The
In modern rap (especially after the Young Thug/YSL case),"In modern rap (especially after the Young Thug/YSL case) — a luxury-culture reference used to signal taste, access, or status.","The ""RICO"" Shadow motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,designer / high-end / runway / flagship,scene,0.5,modern,implication,In
"the RICO Act is the ultimate boogeyman. It represents the government’s ability to turn a ""crew"" into a ""criminal enterprise.""","the RICO Act is the ultimate boogeyman. It represents the government’s ability to turn a ""crew"" into a ""criminal enterprise."" — a luxury-culture reference used to signal taste, access, or status.","The ""RICO"" Shadow motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,The
"The distinction between ""12"" (standard police) and ""The Feds"" or ""Task Force."" The former is a nuisance; the latter is a career-ender.","The distinction between ""12"" (standard police) and ""The Feds"" or ""Task Force."" The former is a nuisance; the latter is a career-ender. — a luxury-culture reference used to signal taste, access, or status.","The ""Blue & White"" vs. ""Undercover"": motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,foreign / performance whip / coupe,scene,0.5,modern,implication,The
"Lyrics about ""switching SIM cards","Lyrics about ""switching SIM cards — a luxury-culture reference used to signal taste, access, or status.","Digital Footprints: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,foreign / performance whip / coupe,scene,0.5,modern,implication,LASSC
""" ""staying off the 'Gram",""" ""staying off the 'Gram — a luxury-culture reference used to signal taste, access, or status.","Digital Footprints: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,SOTG
""" and ""encrypted chats"" (Telegram/Signal). This builds a world where a single Instagram post is a self-incriminating piece of evidence.",""" and ""encrypted chats"" (Telegram/Signal). This builds a world where a single Instagram post is a self-incriminating piece of evidence. — a luxury-culture reference used to signal taste, access, or status.","Digital Footprints: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,And
If the Feds are the external threat,"If the Feds are the external threat — a luxury-culture reference used to signal taste, access, or status.","The ""Snake"" Mythology (Internal Paranoia) motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,If
"the ""Snake"" is the internal one. This theme focuses on the psychological toll of not knowing who to trust.","the ""Snake"" is the internal one. This theme focuses on the psychological toll of not knowing who to trust. — a luxury-culture reference used to signal taste, access, or status.","The ""Snake"" Mythology (Internal Paranoia) motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,The
"The friend who has been there since day one but is secretly working with the ""Opps"" or the ""State.""","The friend who has been there since day one but is secretly working with the ""Opps"" or the ""State."" — a luxury-culture reference used to signal taste, access, or status.","The ""Judas"" Archetype: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,The
"This isn't just a catchy phrase; it’s a survival strategy. World-building lyrics often describe the rapper ""cutting people off"" or ""staying in the house"" to avoid betrayal.","This isn't just a catchy phrase; it’s a survival strategy. World-building lyrics often describe the rapper ""cutting people off"" or ""staying in the house"" to avoid betrayal. — a luxury-culture reference used to signal taste, access, or status.","""Keep Your Circle Small"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,This
"A recurring motif where the rapper looks around a table of his ""friends"" and wonders who would ""fold"" (confess) under pressure.","A recurring motif where the rapper looks around a table of his ""friends"" and wonders who would ""fold"" (confess) under pressure. — a luxury-culture reference used to signal taste, access, or status.","The ""Dinner Table"" Test: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,A
In many rap cultures (specifically UK Drill and Caribbean-influenced rap),"In many rap cultures (specifically UK Drill and Caribbean-influenced rap) — a luxury-culture reference used to signal taste, access, or status.","The ""Evil Eye"" & Envy (The Esoteric Threat) motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,foreign / performance whip / coupe,scene,0.5,modern,implication,In
"paranoia takes a spiritual turn through the ""Evil Eye"" or ""Juju.""","paranoia takes a spiritual turn through the ""Evil Eye"" or ""Juju."" — a luxury-culture reference used to signal taste, access, or status.","The ""Evil Eye"" & Envy (The Esoteric Threat) motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Paranoia
A common metaphor for people who are obsessed with the rapper's success and are waiting for them to fail.,"A common metaphor for people who are obsessed with the rapper's success and are waiting for them to fail. — a luxury-culture reference used to signal taste, access, or status.","Watching My Plate"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,A
"The idea that ""negative energy"" can literally manifest as bad luck","The idea that ""negative energy"" can literally manifest as bad luck — a luxury-culture reference used to signal taste, access, or status.","Vibrations & Energy: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,The
a car crash,"a car crash — a luxury-culture reference used to signal taste, access, or status.","Vibrations & Energy: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,foreign / performance whip / coupe,scene,0.5,modern,implication,ACC
or a failed deal.,"or a failed deal. — a luxury-culture reference used to signal taste, access, or status.","Vibrations & Energy: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,OAFD
"Wearing certain jewelry (like the ""Eye of Fatima"" or ""Hamsa"") not just for fashion","Wearing certain jewelry (like the ""Eye of Fatima"" or ""Hamsa"") not just for fashion — a luxury-culture reference used to signal taste, access, or status.","Protective Charms: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,pattern / logo print / outerwear,scene,0.5,modern,implication,Wearing
"but as a spiritual ""bulletproof vest"" against jealousy.","but as a spiritual ""bulletproof vest"" against jealousy. — a luxury-culture reference used to signal taste, access, or status.","Protective Charms: motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,But
"Police Helicopters (""Ghetto Birds"").","Establishes the feeling of being ""hunted"" from above.","""The Sky"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,PHGB
Official court documents/transcripts.,"Used to prove someone is an informant (""snitch"").","""Paperwork"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,OCDT
Hidden microphones.,"Creates a world where even ""pillow talk"" is dangerous.","""Wire"" / ""Bug"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,HM
"People who are easy to rob or ""set up.""",Highlights the constant threat of being a target.,"""Stains"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,People
Limo tint on windows/all-black clothing.,"The visual of wanting to be ""invisible"" while in public.","""Blacked Out"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Limo
A secondary,"Shows the need for a ""fallback"" position if things go wrong.","""Safe House"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,AS
secret residence.,"Shows the need for a ""fallback"" position if things go wrong.","""Safe House"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,SR
"A newer ""Ada"" (Agenda) in paranoia world-building is the idea that the entire system is a Simulation designed to keep people ""asleep.""","A newer ""Ada"" (Agenda) in paranoia world-building is the idea that the entire system is a Simulation designed to keep people ""asleep."" — a luxury-culture reference used to signal taste, access, or status.","The ""Matrix"" & The Simulation motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,A
Rappers describing the feeling that their life is a curated show for the masses,"Rappers describing the feeling that their life is a curated show for the masses — a luxury-culture reference used to signal taste, access, or status.","The Truman Show"" Effect motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Rappers
and they are being watched by an audience that wants to see them crash.,"and they are being watched by an audience that wants to see them crash. — a luxury-culture reference used to signal taste, access, or status.","The Truman Show"" Effect motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,And
